X T Z
-2.51327 0.0375 1
-2.49757 0.0375 1
-2.48186 0.0375 1
-2.46615 0.0375 1
-2.45044 0.0375 1
-2.43473 0.0375 1
-2.41903 0.0375 1
-2.40332 0.0375 1
-2.38761 0.0375 1
-2.3719 0.0375 1
-2.35619 0.0375 1
-2.34049 0.0375 1
-2.32478 0.0375 1
-2.30907 0.0375 1
-2.29336 0.0375 1
-2.27765 0.0375 1
-2.26195 0.0375 1
-2.24624 0.0375 1
-2.23053 0.0375 1
-2.21482 0.0375 1
-2.19911 0.0375 1
-2.18341 0.0375 1
-2.1677 0.0375 1
-2.15199 0.0375 1
-2.13628 0.0375 1
-2.12058 0.0375 1
-2.10487 0.0375 1
-2.08916 0.0375 1
-2.07345 0.0375 1
-2.05774 0.0375 1
-2.04204 0.0375 1
-2.02633 0.0375 1
-2.01062 0.0375 1
-1.99491 0.0375 1
-1.9792 0.0375 1
-1.9635 0.0375 1
-1.94779 0.0375 1
-1.93208 0.0375 1
-1.91637 0.0375 1
-1.90066 0.0375 1
-1.88496 0.0375 1
-1.86925 0.0375 1
-1.85354 0.0375 1
-1.83783 0.0375 1
-1.82212 0.0375 1
-1.80642 0.0375 1
-1.79071 0.0375 1
-1.775 0.0375 1
-1.75929 0.0375 1
-1.74358 0.0375 1
-1.72788 0.0375 1
-1.71217 0.0375 1
-1.69646 0.0375 1
-1.68075 0.0375 1
-1.66504 0.0375 1
-1.64934 0.0375 1
-1.63363 0.0375 1
-1.61792 0.0375 1
-1.60221 0.0375 1
-1.5865 0.0375 1
-1.5708 0.0375 1
-1.55509 0.0375 1
-1.53938 0.0375 1
-1.52367 0.0375 1
-1.50796 0.0375 1
-1.49226 0.0375 1
-1.47655 0.0375 1
-1.46084 0.0375 1
-1.44513 0.0375 1
-1.42942 0.0375 1
-1.41372 0.0375 1
-1.39801 0.0375 1
-1.3823 0.0375 1
-1.36659 0.0375 1
-1.35088 0.0375 1
-1.33518 0.0375 1
-1.31947 0.0375 1
-1.30376 0.0375 1
-1.28805 0.0375 1
-1.27235 0.0375 1
-1.25664 0.0375 1
-1.24093 0.0375 1
-1.22522 0.0375 1
-1.20951 0.0375 1
-1.19381 0.0375 1
-1.1781 0.0375 1
-1.16239 0.0375 1
-1.14668 0.0375 1
-1.13097 0.0375 1
-1.11527 0.0375 1
-1.09956 0.0375 1
-1.08385 0.0375 1
-1.06814 0.0375 1
-1.05243 0.0375 1
-1.03673 0.0375 1
-1.02102 0.0375 1
-1.00531 0.0375 1
-0.989602 0.0375 1
-0.973894 0.0375 1
-0.958186 0.0375 1
-0.942478 0.0375 1
-0.92677 0.0375 1
-0.911062 0.0375 1
-0.895354 0.0375 1
-0.879646 0.0375 1
-0.863938 0.0375 1
-0.84823 0.0375 1
-0.832522 0.0375 1
-0.816814 0.0375 1
-0.801106 0.0375 1
-0.785398 0.0375 1
-0.76969 0.0375 1
-0.753982 0.0375 1
-0.738274 0.0375 1
-0.722566 0.0375 1
-0.706858 0.0375 1
-0.69115 0.0375 1
-0.675442 0.0375 1
-0.659734 0.0375 1
-0.644026 0.0375 1
-0.628319 0.0375 1
-0.612611 0.0375 1
-0.596903 0.0375 1
-0.581195 0.0375 1
-0.565487 0.0375 1
-0.549779 0.0375 1
-0.534071 0.0375 1
-0.518363 0.0375 1
-0.502655 0.0375 1
-0.486947 0.0375 1
-0.471239 0.0375 1
-0.455531 0.0375 1
-0.439823 0.0375 1
-0.424115 0.0375 1
-0.408407 0.0375 1
-0.392699 0.0375 1
-0.376991 0.0375 1
-0.361283 0.0375 1
-0.345575 0.0375 1
-0.329867 0.0375 1
-0.314159 0.0375 1
-0.298451 0.0375 1
-0.282743 0.0375 1
-0.267035 0.0375 1
-0.251327 0.0375 1
-0.235619 0.0375 1
-0.219911 0.0375 1
-0.204204 0.0375 1
-0.188496 0.0375 1
-0.172788 0.0375 1
-0.15708 0.0375 1
-0.141372 0.0375 1
-0.125664 0.0375 1
-0.109956 0.0375 1
-0.0942478 0.0375 1
-0.0785398 0.0375 1
-0.0628319 0.0375 1
-0.0471239 0.0375 1
-0.0314159 0.0375 1
-0.015708 0.0375 1
4.44089e-16 0.0375 1
0.015708 0.0375 1
0.0314159 0.0375 1
0.0471239 0.0375 1
0.0628319 0.0375 1
0.0785398 0.0375 1
0.0942478 0.0375 1
0.109956 0.0375 1
0.125664 0.0375 1
0.141372 0.0375 1
0.15708 0.0375 1
0.172788 0.0375 1
0.188496 0.0375 1
0.204204 0.0375 1
0.219911 0.0375 1
0.235619 0.0375 1
0.251327 0.0375 1
0.267035 0.0375 1
0.282743 0.0375 1
0.298451 0.0375 1
0.314159 0.0375 1
0.329867 0.0375 1
0.345575 0.0375 1
0.361283 0.0375 1
0.376991 0.0375 1
0.392699 0.0375 1
0.408407 0.0375 1
0.424115 0.0375 1
0.439823 0.0375 1
0.455531 0.0375 1
0.471239 0.0375 1
0.486947 0.0375 1
0.502655 0.0375 1
0.518363 0.0375 1
0.534071 0.0375 1
0.549779 0.0375 1
0.565487 0.0375 1
0.581195 0.0375 1
0.596903 0.0375 1
0.612611 0.0375 1
0.628319 0.0375 1
0.644026 0.0375 1
0.659734 0.0375 1
0.675442 0.0375 1
0.69115 0.0375 1
0.706858 0.0375 1
0.722566 0.0375 1
0.738274 0.0375 1
0.753982 0.0375 1
0.76969 0.0375 1
0.785398 0.0375 1
0.801106 0.0375 1
0.816814 0.0375 1
0.832522 0.0375 1
0.84823 0.0375 1
0.863938 0.0375 1
0.879646 0.0375 1
0.895354 0.0375 1
0.911062 0.0375 1
0.92677 0.0375 1
0.942478 0.0375 1
0.958186 0.0375 1
0.973894 0.0375 1
0.989602 0.0375 1
1.00531 0.0375 1
1.02102 0.0375 1
1.03673 0.0375 1
1.05243 0.0375 1
1.06814 0.0375 1
1.08385 0.0375 1
1.09956 0.0375 1
1.11527 0.0375 1
1.13097 0.0375 1
1.14668 0.0375 1
1.16239 0.0375 1
1.1781 0.0375 1
1.19381 0.0375 1
1.20951 0.0375 1
1.22522 0.0375 1
1.24093 0.0375 1
1.25664 0.0375 1
1.27235 0.0375 1
1.28805 0.0375 1
1.30376 0.0375 1
1.31947 0.0375 1
1.33518 0.0375 1
1.35088 0.0375 1
1.36659 0.0375 1
1.3823 0.0375 1
1.39801 0.0375 1
1.41372 0.0375 1
1.42942 0.0375 1
1.44513 0.0375 1
1.46084 0.0375 1
1.47655 0.0375 1
1.49226 0.0375 1
1.50796 0.0375 1
1.52367 0.0375 1
1.53938 0.0375 1
1.55509 0.0375 1
1.5708 0.0375 1
1.5865 0.0375 1
1.60221 0.0375 1
1.61792 0.0375 1
1.63363 0.0375 1
1.64934 0.0375 1
1.66504 0.0375 1
1.68075 0.0375 1
1.69646 0.0375 1
1.71217 0.0375 1
1.72788 0.0375 1
1.74358 0.0375 1
1.75929 0.0375 1
1.775 0.0375 1
1.79071 0.0375 1
1.80642 0.0375 1
1.82212 0.0375 1
1.83783 0.0375 1
1.85354 0.0375 1
1.86925 0.0375 1
1.88496 0.0375 1
1.90066 0.0375 1
1.91637 0.0375 1
1.93208 0.0375 1
1.94779 0.0375 1
1.9635 0.0375 1
1.9792 0.0375 1
1.99491 0.0375 1
2.01062 0.0375 1
2.02633 0.0375 1
2.04204 0.0375 1
2.05774 0.0375 1
2.07345 0.0375 1
2.08916 0.0375 1
2.10487 0.0375 1
2.12058 0.0375 1
2.13628 0.0375 1
2.15199 0.0375 1
2.1677 0.0375 1
2.18341 0.0375 1
2.19911 0.0375 1
2.21482 0.0375 1
2.23053 0.0375 1
2.24624 0.0375 1
2.26195 0.0375 1
2.27765 0.0375 1
2.29336 0.0375 1
2.30907 0.0375 1
2.32478 0.0375 1
2.34049 0.0375 1
2.35619 0.0375 1
2.3719 0.0375 1
2.38761 0.0375 1
2.40332 0.0375 1
2.41903 0.0375 1
2.43473 0.0375 1
2.45044 0.0375 1
2.46615 0.0375 1
2.48186 0.0375 1
2.49757 0.0375 1
2.51327 0.0375 1
2.52898 0.0375 1
2.54469 0.0375 1
2.5604 0.0375 1
2.57611 0.0375 1
2.59181 0.0375 1
2.60752 0.0375 1
2.62323 0.0375 1
2.63894 0.0375 1
2.65465 0.0375 1
2.67035 0.0375 1
2.68606 0.0375 1
2.70177 0.0375 1
2.71748 0.0375 1
2.73319 0.0375 1
2.74889 0.0375 1
2.7646 0.0375 1
2.78031 0.0375 1
2.79602 0.0375 1
2.81173 0.0375 1
2.82743 0.0375 1
2.84314 0.0375 1
2.85885 0.0375 1
2.87456 0.0375 1
2.89027 0.0375 1
2.90597 0.0375 1
2.92168 0.0375 1
2.93739 0.0375 1
2.9531 0.0375 1
2.96881 0.0375 1
2.98451 0.0375 1
3.00022 0.0375 1
3.01593 0.0375 1
3.03164 0.0375 1
3.04734 0.0375 1
3.06305 0.0375 1
3.07876 0.0375 1
3.09447 0.0375 1
3.11018 0.0375 1
3.12588 0.0375 1
3.14159 0.0375 1
-3.14159 0.05 1
-3.12588 0.05 1
-3.11018 0.05 1
-3.09447 0.05 1
-3.07876 0.05 1
-3.06305 0.05 1
-3.04734 0.05 1
-3.03164 0.05 1
-3.01593 0.05 1
-3.00022 0.05 1
-2.98451 0.05 1
-2.96881 0.05 1
-2.9531 0.05 1
-2.93739 0.05 1
-2.92168 0.05 1
-2.90597 0.05 1
-2.89027 0.05 1
-2.87456 0.05 1
-2.85885 0.05 1
-2.84314 0.05 1
-2.82743 0.05 1
-2.81173 0.05 1
-2.79602 0.05 1
-2.78031 0.05 1
-2.7646 0.05 1
-2.74889 0.05 1
-2.73319 0.05 1
-2.71748 0.05 1
-2.70177 0.05 1
-2.68606 0.05 1
-2.67035 0.05 1
-2.65465 0.05 1
-2.63894 0.05 1
-2.62323 0.05 1
-2.60752 0.05 1
-2.59181 0.05 1
-2.57611 0.05 1
-2.5604 0.05 1
-2.54469 0.05 1
-2.52898 0.05 1
-2.51327 0.05 1
-2.49757 0.05 1
-2.48186 0.05 1
-2.46615 0.05 1
-2.45044 0.05 1
-2.43473 0.05 1
-2.41903 0.05 1
-2.40332 0.05 1
-2.38761 0.05 1
-2.3719 0.05 1
-2.35619 0.05 1
-2.34049 0.05 1
-2.32478 0.05 1
-2.30907 0.05 1
-2.29336 0.05 1
-2.27765 0.05 1
-2.26195 0.05 1
-2.24624 0.05 1
-2.23053 0.05 1
-2.21482 0.05 1
-2.19911 0.05 1
-2.18341 0.05 1
-2.1677 0.05 1
-2.15199 0.05 1
-2.13628 0.05 1
-2.12058 0.05 1
-2.10487 0.05 1
-2.08916 0.05 1
-2.07345 0.05 1
-2.05774 0.05 1
-2.04204 0.05 1
-2.02633 0.05 1
-2.01062 0.05 1
-1.99491 0.05 1
-1.9792 0.05 1
-1.9635 0.05 1
-1.94779 0.05 1
-1.93208 0.05 1
-1.91637 0.05 1
-1.90066 0.05 1
-1.88496 0.05 1
-1.86925 0.05 1
-1.85354 0.05 1
-1.83783 0.05 1
-1.82212 0.05 1
-1.80642 0.05 1
-1.79071 0.05 1
-1.775 0.05 1
-1.75929 0.05 1
-1.74358 0.05 1
-1.72788 0.05 1
-1.71217 0.05 1
-1.69646 0.05 1
-1.68075 0.05 1
-1.66504 0.05 1
-1.64934 0.05 1
-1.63363 0.05 1
-1.61792 0.05 1
-1.60221 0.05 1
-1.5865 0.05 1
-1.5708 0.05 1
-1.55509 0.05 1
-1.53938 0.05 1
-1.52367 0.05 1
-1.50796 0.05 1
-1.49226 0.05 1
-1.47655 0.05 1
-1.46084 0.05 1
-1.44513 0.05 1
-1.42942 0.05 1
-1.41372 0.05 1
-1.39801 0.05 1
-1.3823 0.05 1
-1.36659 0.05 1
-1.35088 0.05 1
-1.33518 0.05 1
-1.31947 0.05 1
-1.30376 0.05 1
-1.28805 0.05 1
-1.27235 0.05 1
-1.25664 0.05 1
-1.24093 0.05 1
-1.22522 0.05 1
-1.20951 0.05 1
-1.19381 0.05 1
-1.1781 0.05 1
-1.16239 0.05 1
-1.14668 0.05 1
-1.13097 0.05 1
-1.11527 0.05 1
-1.09956 0.05 1
-1.08385 0.05 1
-1.06814 0.05 1
-1.05243 0.05 1
-1.03673 0.05 1
-1.02102 0.05 1
-1.00531 0.05 1
-0.989602 0.05 1
-0.973894 0.05 1
-0.958186 0.05 1
-0.942478 0.05 1
-0.92677 0.05 1
-0.911062 0.05 1
-0.895354 0.05 1
-0.879646 0.05 1
-0.863938 0.05 1
-0.84823 0.05 1
-0.832522 0.05 1
-0.816814 0.05 1
-0.801106 0.05 1
-0.785398 0.05 1
-0.76969 0.05 1
-0.753982 0.05 1
-0.738274 0.05 1
-0.722566 0.05 1
-0.706858 0.05 1
-0.69115 0.05 1
-0.675442 0.05 1
-0.659734 0.05 1
-0.644026 0.05 1
-0.628319 0.05 1
-0.612611 0.05 1
-0.596903 0.05 1
-0.581195 0.05 1
-0.565487 0.05 1
-0.549779 0.05 1
-0.534071 0.05 1
-0.518363 0.05 1
-0.502655 0.05 1
-0.486947 0.05 1
-0.471239 0.05 1
-0.455531 0.05 1
-0.439823 0.05 1
-0.424115 0.05 1
-0.408407 0.05 1
-0.392699 0.05 1
-0.376991 0.05 1
-0.361283 0.05 1
-0.345575 0.05 1
-0.329867 0.05 1
-0.314159 0.05 1
-0.298451 0.05 1
-0.282743 0.05 1
-0.267035 0.05 1
-0.251327 0.05 1
-0.235619 0.05 1
-0.219911 0.05 1
-0.204204 0.05 1
-0.188496 0.05 1
-0.172788 0.05 1
-0.15708 0.05 1
-0.141372 0.05 1
-0.125664 0.05 1
-0.109956 0.05 1
-0.0942478 0.05 1
-0.0785398 0.05 1
-0.0628319 0.05 1
-0.0471239 0.05 1
-0.0314159 0.05 1
-0.015708 0.05 1
4.44089e-16 0.05 1
0.015708 0.05 1
0.0314159 0.05 1
0.0471239 0.05 1
0.0628319 0.05 1
0.0785398 0.05 1
0.0942478 0.05 1
0.109956 0.05 1
0.125664 0.05 1
0.141372 0.05 1
0.15708 0.05 1
0.172788 0.05 1
0.188496 0.05 1
0.204204 0.05 1
0.219911 0.05 1
0.235619 0.05 1
0.251327 0.05 1
0.267035 0.05 1
0.282743 0.05 1
0.298451 0.05 1
0.314159 0.05 1
0.329867 0.05 1
0.345575 0.05 1
0.361283 0.05 1
0.376991 0.05 1
0.392699 0.05 1
0.408407 0.05 1
0.424115 0.05 1
0.439823 0.05 1
0.455531 0.05 1
0.471239 0.05 1
0.486947 0.05 1
0.502655 0.05 1
0.518363 0.05 1
0.534071 0.05 1
0.549779 0.05 1
0.565487 0.05 1
0.581195 0.05 1
0.596903 0.05 1
0.612611 0.05 1
0.628319 0.05 1
0.644026 0.05 1
0.659734 0.05 1
0.675442 0.05 1
0.69115 0.05 1
0.706858 0.05 1
0.722566 0.05 1
0.738274 0.05 1
0.753982 0.05 1
0.76969 0.05 1
0.785398 0.05 1
0.801106 0.05 1
0.816814 0.05 1
0.832522 0.05 1
0.84823 0.05 1
0.863938 0.05 1
0.879646 0.05 1
0.895354 0.05 1
0.911062 0.05 1
0.92677 0.05 1
0.942478 0.05 1
0.958186 0.05 1
0.973894 0.05 1
0.989602 0.05 1
1.00531 0.05 1
1.02102 0.05 1
1.03673 0.05 1
1.05243 0.05 1
1.06814 0.05 1
1.08385 0.05 1
1.09956 0.05 1
1.11527 0.05 1
1.13097 0.05 1
1.14668 0.05 1
1.16239 0.05 1
1.1781 0.05 1
1.19381 0.05 1
1.20951 0.05 1
1.22522 0.05 1
1.24093 0.05 1
1.25664 0.05 1
1.27235 0.05 1
1.28805 0.05 1
1.30376 0.05 1
1.31947 0.05 1
1.33518 0.05 1
1.35088 0.05 1
1.36659 0.05 1
1.3823 0.05 1
1.39801 0.05 1
1.41372 0.05 1
1.42942 0.05 1
1.44513 0.05 1
1.46084 0.05 1
1.47655 0.05 1
1.49226 0.05 1
1.50796 0.05 1
1.52367 0.05 1
1.53938 0.05 1
1.55509 0.05 1
1.5708 0.05 1
1.5865 0.05 1
1.60221 0.05 1
1.61792 0.05 1
1.63363 0.05 1
1.64934 0.05 1
1.66504 0.05 1
1.68075 0.05 1
1.69646 0.05 1
1.71217 0.05 1
1.72788 0.05 1
1.74358 0.05 1
1.75929 0.05 1
1.775 0.05 1
1.79071 0.05 1
1.80642 0.05 1
1.82212 0.05 1
1.83783 0.05 1
1.85354 0.05 1
1.86925 0.05 1
1.88496 0.05 1
1.90066 0.05 1
1.91637 0.05 1
1.93208 0.05 1
1.94779 0.05 1
1.9635 0.05 1
1.9792 0.05 1
1.99491 0.05 1
2.01062 0.05 1
2.02633 0.05 1
2.04204 0.05 1
2.05774 0.05 1
2.07345 0.05 1
2.08916 0.05 1
2.10487 0.05 1
2.12058 0.05 1
2.13628 0.05 1
2.15199 0.05 1
2.1677 0.05 1
2.18341 0.05 1
2.19911 0.05 1
2.21482 0.05 1
2.23053 0.05 1
2.24624 0.05 1
2.26195 0.05 1
2.27765 0.05 1
2.29336 0.05 1
2.30907 0.05 1
2.32478 0.05 1
2.34049 0.05 1
2.35619 0.05 1
2.3719 0.05 1
2.38761 0.05 1
2.40332 0.05 1
2.41903 0.05 1
2.43473 0.05 1
2.45044 0.05 1
2.46615 0.05 1
2.48186 0.05 1
2.49757 0.05 1
2.51327 0.05 1
2.52898 0.05 1
2.54469 0.05 1
2.5604 0.05 1
2.57611 0.05 1
2.59181 0.05 1
2.60752 0.05 1
2.62323 0.05 1
2.63894 0.05 1
2.65465 0.05 1
2.67035 0.05 1
2.68606 0.05 1
2.70177 0.05 1
2.71748 0.05 1
2.73319 0.05 1
2.74889 0.05 1
2.7646 0.05 1
2.78031 0.05 1
2.79602 0.05 1
2.81173 0.05 1
2.82743 0.05 1
2.84314 0.05 1
2.85885 0.05 1
2.87456 0.05 1
2.89027 0.05 1
2.90597 0.05 1
2.92168 0.05 1
2.93739 0.05 1
2.9531 0.05 1
2.96881 0.05 1
2.98451 0.05 1
3.00022 0.05 1
3.01593 0.05 1
3.03164 0.05 1
3.04734 0.05 1
3.06305 0.05 1
3.07876 0.05 1
3.09447 0.05 1
3.11018 0.05 1
3.12588 0.05 1
3.14159 0.05 1
-3.14159 0.0625 1
-3.12588 0.0625 1
-3.11018 0.0625 1
-3.09447 0.0625 1
-3.07876 0.0625 1
-3.06305 0.0625 1
-3.04734 0.0625 1
-3.03164 0.0625 1
-3.01593 0.0625 1
-3.00022 0.0625 1
-2.98451 0.0625 1
-2.96881 0.0625 1
-2.9531 0.0625 1
-2.93739 0.0625 1
-2.92168 0.0625 1
-2.90597 0.0625 1
-2.89027 0.0625 1
-2.87456 0.0625 1
-2.85885 0.0625 1
-2.84314 0.0625 1
-2.82743 0.0625 1
-2.81173 0.0625 1
-2.79602 0.0625 1
-2.78031 0.0625 1
-2.7646 0.0625 1
-2.74889 0.0625 1
-2.73319 0.0625 1
-2.71748 0.0625 1
-2.70177 0.0625 1
-2.68606 0.0625 1
-2.67035 0.0625 1
-2.65465 0.0625 1
-2.63894 0.0625 1
-2.62323 0.0625 1
-2.60752 0.0625 1
-2.59181 0.0625 1
-2.57611 0.0625 1
-2.5604 0.0625 1
-2.54469 0.0625 1
-2.52898 0.0625 1
-2.51327 0.0625 1
-2.49757 0.0625 1
-2.48186 0.0625 1
-2.46615 0.0625 1
-2.45044 0.0625 1
-2.43473 0.0625 1
-2.41903 0.0625 1
-2.40332 0.0625 1
-2.38761 0.0625 1
-2.3719 0.0625 1
-2.35619 0.0625 1
-2.34049 0.0625 1
-2.32478 0.0625 1
-2.30907 0.0625 1
-2.29336 0.0625 1
-2.27765 0.0625 1
-2.26195 0.0625 1
-2.24624 0.0625 1
-2.23053 0.0625 1
-2.21482 0.0625 1
-2.19911 0.0625 1
-2.18341 0.0625 1
-2.1677 0.0625 1
-2.15199 0.0625 1
-2.13628 0.0625 1
-2.12058 0.0625 1
-2.10487 0.0625 1
-2.08916 0.0625 1
-2.07345 0.0625 1
-2.05774 0.0625 1
-2.04204 0.0625 1
-2.02633 0.0625 1
-2.01062 0.0625 1
-1.99491 0.0625 1
-1.9792 0.0625 1
-1.9635 0.0625 1
-1.94779 0.0625 1
-1.93208 0.0625 1
-1.91637 0.0625 1
-1.90066 0.0625 1
-1.88496 0.0625 1
-1.86925 0.0625 1
-1.85354 0.0625 1
-1.83783 0.0625 1
-1.82212 0.0625 1
-1.80642 0.0625 1
-1.79071 0.0625 1
-1.775 0.0625 1
-1.75929 0.0625 1
-1.74358 0.0625 1
-1.72788 0.0625 1
-1.71217 0.0625 1
-1.69646 0.0625 1
-1.68075 0.0625 1
-1.66504 0.0625 1
-1.64934 0.0625 1
-1.63363 0.0625 1
-1.61792 0.0625 1
-1.60221 0.0625 1
-1.5865 0.0625 1
-1.5708 0.0625 1
-1.55509 0.0625 1
-1.53938 0.0625 1
-1.52367 0.0625 1
-1.50796 0.0625 1
-1.49226 0.0625 1
-1.47655 0.0625 1
-1.46084 0.0625 1
-1.44513 0.0625 1
-1.42942 0.0625 1
-1.41372 0.0625 1
-1.39801 0.0625 1
-1.3823 0.0625 1
-1.36659 0.0625 1
-1.35088 0.0625 1
-1.33518 0.0625 1
-1.31947 0.0625 1
-1.30376 0.0625 1
-1.28805 0.0625 1
-1.27235 0.0625 1
-1.25664 0.0625 1
-1.24093 0.0625 1
-1.22522 0.0625 1
-1.20951 0.0625 1
-1.19381 0.0625 1
-1.1781 0.0625 1
-1.16239 0.0625 1
-1.14668 0.0625 1
-1.13097 0.0625 1
-1.11527 0.0625 1
-1.09956 0.0625 1
-1.08385 0.0625 1
-1.06814 0.0625 1
-1.05243 0.0625 1
-1.03673 0.0625 1
-1.02102 0.0625 1
-1.00531 0.0625 1
-0.989602 0.0625 1
-0.973894 0.0625 1
-0.958186 0.0625 1
-0.942478 0.0625 1
-0.92677 0.0625 1
-0.911062 0.0625 1
-0.895354 0.0625 1
-0.879646 0.0625 1
-0.863938 0.0625 1
-0.84823 0.0625 1
-0.832522 0.0625 1
-0.816814 0.0625 1
-0.801106 0.0625 1
-0.785398 0.0625 1
-0.76969 0.0625 1
-0.753982 0.0625 1
-0.738274 0.0625 1
-0.722566 0.0625 1
-0.706858 0.0625 1
-0.69115 0.0625 1
-0.675442 0.0625 1
-0.659734 0.0625 1
-0.644026 0.0625 1
-0.628319 0.0625 1
-0.612611 0.0625 1
-0.596903 0.0625 1
-0.581195 0.0625 1
-0.565487 0.0625 1
-0.549779 0.0625 1
-0.534071 0.0625 1
-0.518363 0.0625 1
-0.502655 0.0625 1
-0.486947 0.0625 1
-0.471239 0.0625 1
-0.455531 0.0625 1
-0.439823 0.0625 1
-0.424115 0.0625 1
-0.408407 0.0625 1
-0.392699 0.0625 1
-0.376991 0.0625 1
-0.361283 0.0625 1
-0.345575 0.0625 1
-0.329867 0.0625 1
-0.314159 0.0625 1
-0.298451 0.0625 1
-0.282743 0.0625 1
-0.267035 0.0625 1
-0.251327 0.0625 1
-0.235619 0.0625 1
-0.219911 0.0625 1
-0.204204 0.0625 1
-0.188496 0.0625 1
-0.172788 0.0625 1
-0.15708 0.0625 1
-0.141372 0.0625 1
-0.125664 0.0625 1
-0.109956 0.0625 1
-0.0942478 0.0625 1
-0.0785398 0.0625 1
-0.0628319 0.0625 1
-0.0471239 0.0625 1
-0.0314159 0.0625 1
-0.015708 0.0625 1
4.44089e-16 0.0625 1
0.015708 0.0625 1
0.0314159 0.0625 1
0.0471239 0.0625 1
0.0628319 0.0625 1
0.0785398 0.0625 1
0.0942478 0.0625 1
0.109956 0.0625 1
0.125664 0.0625 1
0.141372 0.0625 1
0.15708 0.0625 1
0.172788 0.0625 1
0.188496 0.0625 1
0.204204 0.0625 1
0.219911 0.0625 1
0.235619 0.0625 1
0.251327 0.0625 1
0.267035 0.0625 1
0.282743 0.0625 1
0.298451 0.0625 1
0.314159 0.0625 1
0.329867 0.0625 1
0.345575 0.0625 1
0.361283 0.0625 1
0.376991 0.0625 1
0.392699 0.0625 1
0.408407 0.0625 1
0.424115 0.0625 1
0.439823 0.0625 1
0.455531 0.0625 1
0.471239 0.0625 1
0.486947 0.0625 1
0.502655 0.0625 1
0.518363 0.0625 1
0.534071 0.0625 1
0.549779 0.0625 1
0.565487 0.0625 1
0.581195 0.0625 1
0.596903 0.0625 1
0.612611 0.0625 1
0.628319 0.0625 1
0.644026 0.0625 1
0.659734 0.0625 1
0.675442 0.0625 1
0.69115 0.0625 1
0.706858 0.0625 1
0.722566 0.0625 1
0.738274 0.0625 1
0.753982 0.0625 1
0.76969 0.0625 1
0.785398 0.0625 1
0.801106 0.0625 1
0.816814 0.0625 1
0.832522 0.0625 1
0.84823 0.0625 1
0.863938 0.0625 1
0.879646 0.0625 1
0.895354 0.0625 1
0.911062 0.0625 1
0.92677 0.0625 1
0.942478 0.0625 1
0.958186 0.0625 1
0.973894 0.0625 1
0.989602 0.0625 1
1.00531 0.0625 1
1.02102 0.0625 1
1.03673 0.0625 1
1.05243 0.0625 1
1.06814 0.0625 1
1.08385 0.0625 1
1.09956 0.0625 1
1.11527 0.0625 1
1.13097 0.0625 1
1.14668 0.0625 1
1.16239 0.0625 1
1.1781 0.0625 1
1.19381 0.0625 1
1.20951 0.0625 1
1.22522 0.0625 1
1.24093 0.0625 1
1.25664 0.0625 1
1.27235 0.0625 1
1.28805 0.0625 1
1.30376 0.0625 1
1.31947 0.0625 1
1.33518 0.0625 1
1.35088 0.0625 1
1.36659 0.0625 1
1.3823 0.0625 1
1.39801 0.0625 1
1.41372 0.0625 1
1.42942 0.0625 1
1.44513 0.0625 1
1.46084 0.0625 1
1.47655 0.0625 1
1.49226 0.0625 1
1.50796 0.0625 1
1.52367 0.0625 1
1.53938 0.0625 1
1.55509 0.0625 1
1.5708 0.0625 1
1.5865 0.0625 1
1.60221 0.0625 1
1.61792 0.0625 1
1.63363 0.0625 1
1.64934 0.0625 1
1.66504 0.0625 1
1.68075 0.0625 1
1.69646 0.0625 1
1.71217 0.0625 1
1.72788 0.0625 1
1.74358 0.0625 1
1.75929 0.0625 1
1.775 0.0625 1
1.79071 0.0625 1
1.80642 0.0625 1
1.82212 0.0625 1
1.83783 0.0625 1
1.85354 0.0625 1
1.86925 0.0625 1
1.88496 0.0625 1
1.90066 0.0625 1
1.91637 0.0625 1
1.93208 0.0625 1
1.94779 0.0625 1
1.9635 0.0625 1
1.9792 0.0625 1
1.99491 0.0625 1
2.01062 0.0625 1
2.02633 0.0625 1
2.04204 0.0625 1
2.05774 0.0625 1
2.07345 0.0625 1
2.08916 0.0625 1
2.10487 0.0625 1
2.12058 0.0625 1
2.13628 0.0625 1
2.15199 0.0625 1
2.1677 0.0625 1
2.18341 0.0625 1
2.19911 0.0625 1
2.21482 0.0625 1
2.23053 0.0625 1
2.24624 0.0625 1
2.26195 0.0625 1
2.27765 0.0625 1
2.29336 0.0625 1
2.30907 0.0625 1
2.32478 0.0625 1
2.34049 0.0625 1
2.35619 0.0625 1
2.3719 0.0625 1
2.38761 0.0625 1
2.40332 0.0625 1
2.41903 0.0625 1
2.43473 0.0625 1
2.45044 0.0625 1
2.46615 0.0625 1
2.48186 0.0625 1
2.49757 0.0625 1
2.51327 0.0625 1
2.52898 0.0625 1
2.54469 0.0625 1
2.5604 0.0625 1
2.57611 0.0625 1
2.59181 0.0625 1
2.60752 0.0625 1
2.62323 0.0625 1
2.63894 0.0625 1
2.65465 0.0625 1
2.67035 0.0625 1
2.68606 0.0625 1
2.70177 0.0625 1
2.71748 0.0625 1
2.73319 0.0625 1
2.74889 0.0625 1
2.7646 0.0625 1
2.78031 0.0625 1
2.79602 0.0625 1
2.81173 0.0625 1
2.82743 0.0625 1
2.84314 0.0625 1
2.85885 0.0625 1
2.87456 0.0625 1
2.89027 0.0625 1
2.90597 0.0625 1
2.92168 0.0625 1
2.93739 0.0625 1
